k, l, time, score, round, eps
13,2,0.09649683300085599,2703,9,0.9
13,3,2.1532055839998065,2704,9,0.9
4,4,1.6134615420014597,176,9,0.9
7,4,6.857367292001072,655,9,0.9
10,4,17.294881707999593,1301,9,0.9
13,4,34.67974454099931,2537,9,0.9
3,2,0.006044791000022087,93,10,0.1
3,3,0.11003129199889372,88,10,0.1
5,2,0.01979349999965052,313,10,0.1
5,3,0.4366662920001545,313,10,0.1
7,2,0.045359042000200134,723,10,0.1
7,3,0.9966895830002613,731,10,0.1
9,2,0.07650254200052586,1137,10,0.1
9,3,1.7268133329998818,1129,10,0.1
11,2,0.12751083300099708,1773,10,0.1
11,3,2.8301130839990947,1752,10,0.1
13,2,0.192042250000668,2426,10,0.1
13,3,4.29567120899992,2426,10,0.1
4,4,3.8754000830012956,160,10,0.1
7,4,16.417586166000547,709,10,0.1
10,4,37.38768416699895,1479,10,0.1
13,4,69.59122179199949,2426,10,0.1
3,2,0.004090750000614207,93,10,0.3
3,3,0.07417337500010035,88,10,0.3
5,2,0.015363624999736203,313,10,0.3
5,3,0.3241730000008829,313,10,0.3
7,2,0.033791208999900846,723,10,0.3
7,3,0.7547099580006034,721,10,0.3
9,2,0.05776479099949938,1137,10,0.3
9,3,1.3138435420005408,1129,10,0.3
11,2,0.09783366699957696,1773,10,0.3
11,3,2.2208248330007336,1773,10,0.3
13,2,0.13826379199963412,2426,10,0.3
13,3,3.185226707999391,2432,10,0.3
4,4,2.736665291000463,160,10,0.3
7,4,12.211378666999735,709,10,0.3
10,4,28.270993459000238,1381,10,0.3
13,4,49.20362116599972,2424,10,0.3
3,2,0.002846499999577645,93,10,0.6
3,3,0.05236829199930071,88,10,0.6
5,2,0.012285917000554036,313,10,0.6
5,3,0.2486851249996107,313,10,0.6
7,2,0.026924207999400096,723,10,0.6
7,3,0.5929960409994237,673,10,0.6
9,2,0.04577345899997454,1137,10,0.6
9,3,1.0003730840016942,1137,10,0.6
11,2,0.07783404200017685,1773,10,0.6
11,3,1.73231449999912,1773,10,0.6
13,2,0.11030666699844005,2426,10,0.6
13,3,2.4563844169988442,2426,10,0.6
4,4,1.8984472089996416,160,10,0.6
7,4,9.224040999999488,706,10,0.6
10,4,22.027992082999845,1448,10,0.6
13,4,38.11503300000004,2426,10,0.6
3,2,0.002697959000215633,93,10,0.9
3,3,0.039029667001159396,88,10,0.9
5,2,0.007449375001669978,313,10,0.9
5,3,0.16397941700051888,313,10,0.9
7,2,0.019200790999093442,723,10,0.9
7,3,0.4219286249990546,673,10,0.9
9,2,0.038310374999127816,1137,10,0.9
9,3,0.8568249169984483,1129,10,0.9
11,2,0.06777883299946552,1773,10,0.9
11,3,1.5176604590014904,1789,10,0.9
13,2,0.09610662500017497,2426,10,0.9
13,3,2.1620343750000757,2424,10,0.9
4,4,1.5397202500007552,160,10,0.9
7,4,6.513757417000306,709,10,0.9
10,4,16.528903041000376,1405,10,0.9
13,4,33.22836429100062,2424,10,0.9
